VEHICLE_NAME,VEHICLE_TID,ORGUNIT_NAME,VEHICLE_MODEL,VEHICLE_ID,ORGUNIT_ID,OPD_DATE
2539,2539,GoBus,MCI,2539,1844976,22-MAR-23
2542,2542,GoBus,MCI,2542,1844976,22-MAR-23
2543,2543,GoBus,MCI,2543,1844976,22-FEB-23
2544,2544,GoBus,MCI,2544,1844976,16-DEC-22
2545,2545,GoBus,MCI,2545,1844976,22-MAR-23
2546,2546,GoBus,45AC,2546,1844976,09-MAR-22
2547,2547,GoBus,MCI,2547,1844976,17-JAN-23
2548,2548,GoBus,MCI,2548,1844976,15-MAR-23
2550,2550,GoBus,45AC,2550,1844976,13-SEP-22
2551,2551,GoBus,45AC,2551,1844976,20-MAY-22
2552,2552,GoBus,MCI,2552,1844976,17-JAN-23
2553,2553,GoBus,MCI,2553,1844976,18-MAR-23
2554,2554,GoBus,MCI,2554,1844976,21-MAR-23
2555,2555,GoBus,MCI,2555,1844976,25-FEB-23
2556,2556,GoBus,MCI,2556,1844976,22-MAR-23
2557,2557,GoBus,MCI,2557,1844976,22-FEB-23
2558,2558,GoBus,MCI,2558,1844976,22-FEB-23
2559,2559,GoBus,45AC,2559,1844976,13-SEP-22
2560,2560,GoBus,MCI,2560,1844976,09-MAR-23
2561,2561,GoBus,MCI,2561,1844976,22-MAR-23
2562,2562,GoBus,45AC,2562,1844976,14-SEP-22
2563,2563,GoBus,MCI,2563,1844976,22-MAR-23
2564,2564,GoBus,MCI,2564,1844976,22-FEB-23
2565,2565,GoBus,MCI,2565,1844976,22-MAR-23
2566,2566,GoBus,MCI,2566,1844976,22-MAR-23
2567,2567,GoBus,45AC,2567,1844976,22-MAR-22
2568,2568,GoBus,45AC,2568,1844976,13-JUL-22
2569,2569,GoBus,MCI,2569,1844976,22-MAR-23
2570,2570,GoBus,MCI,2570,1844976,21-FEB-23
2571,2571,GoBus,MCI,2571,1844976,22-MAR-23
2572,2572,GoBus,45AC,2572,1844976,01-JUN-22
2573,2573,GoBus,MCI,2573,1844976,22-FEB-23
2574,2574,GoBus,MCI,2574,1844976,07-FEB-23
2575,2575,GoBus,MCI,2575,1844976,22-FEB-23
2576,2576,GoBus,MCI,2576,1844976,22-MAR-23
2577,2577,GoBus,MCI,2577,1844976,21-FEB-23
2578,2578,GoBus,MCI,2578,1844976,22-MAR-23
2579,2579,GoBus,MCI,2579,1844976,21-FEB-23
2580,2580,GoBus,MCI,2580,1844976,25-FEB-23
2581,2581,GoBus,MCI,2581,1844976,09-MAR-23
2582,2582,GoBus,MCI,2582,1844976,22-MAR-23
2583,2583,GoBus,MCI,2583,1844976,22-MAR-23
2584,2584,GoBus,MCI,2584,1844976,22-MAR-23
2585,2585,GoBus,MCI,2585,1844976,22-FEB-23
2586,2586,GoBus,MCI,2586,1844976,22-FEB-23
2587,2587,GoBus,MCI,2587,1844976,22-FEB-23
2588,2588,GoBus,MCI,2588,1844976,22-MAR-23
2589,2589,GoBus,MCI,2589,1844976,25-FEB-23
2590,2590,GoBus,MCI,2590,1844976,22-MAR-23
2591,2591,GoBus,MCI,2591,1844976,22-FEB-23
2592,2592,GoBus,MCI,2592,1844976,22-FEB-23
2593,2593,GoBus,MCI,2593,1844976,16-DEC-22
2594,2594,GoBus,MCI,2594,1844976,22-FEB-23
2595,2595,GoBus,MCI,2595,1844976,22-FEB-23
2596,2596,GoBus,MCI,2596,1844976,22-MAR-23
2597,2597,GoBus,MCI,2597,1844976,22-MAR-23
2598,2598,GoBus,MCI,2598,1844976,09-MAR-23
2599,2599,GoBus,MCI,2599,1844976,22-MAR-23
2601,2601,GoBus,MCI,2601,1844976,09-MAR-23
2602,2602,GoBus,MCI,2602,1844976,09-MAR-23
2603,2603,GoBus,MCI,2603,1844976,22-MAR-23
2604,2604,GoBus,45AC,2604,1844976,28-JUN-22
2605,2605,GoBus,MCI,2605,1844976,16-DEC-22
2606,2606,GoBus,MCI,2606,1844976,22-MAR-23
2607,2607,GoBus,MCI,2607,1844976,22-MAR-23
2608,2608,GoBus,MCI,2608,1844976,22-FEB-23
2609,2609,GoBus,MCI,2609,1844976,25-FEB-23
2611,2611,GoBus,MCI,2611,1844976,25-FEB-23
2612,2612,GoBus,MCI,2612,1844976,22-MAR-23
2613,2613,GoBus,MCI,2613,1844976,25-FEB-23
2614,2614,GoBus,MCI,2614,1844976,17-JAN-23
2615,2615,GoBus,MCI,2615,1844976,15-AUG-22
2616,2616,GoBus,MCI,2616,1844976,22-MAR-23
8016,8016,GoBus,DDH,8016,1844976,10-AUG-22
8106,8106,GoBus,DDL,8106,1844976,01-JUN-21
8108,8108,GoBus,DDL,8108,1844976,27-JUL-21
8114,8114,GoBus,DDL,8114,1844976,28-APR-22
8115,8115,GoBus,DDL,8115,1844976,12-JAN-21
8121,8121,GoBus,DDL,8121,1844976,06-JUL-21
8124,8124,GoBus,DDL,8124,1844976,17-JAN-22
8135,8135,GoBus,DDL,8135,1844976,13-DEC-21
8138,8138,GoBus,DDL,8138,1844976,17-JUN-21
8147,8147,GoBus,DDL,8147,1844976,29-JUN-21
8150,8150,GoBus,DDL,8150,1844976,13-JAN-22
8155,8155,GoBus,DDL,8155,1844976,30-JUN-21
8168,8168,GoBus,DDL,8168,1844976,07-JUL-21
8169,8169,GoBus,DDL,8169,1844976,17-JUN-21
8187,8187,GoBus,DDL,8187,1844976,14-DEC-21
8197,8197,GoBus,DDL,8197,1844976,02-SEP-21
8205,8205,GoBus,DDL,8205,1844976,06-JUL-21
8301,8301,GoBus,DDS,8301,1844976,22-MAR-23
8302,8302,GoBus,DDS,8302,1844976,22-MAR-23
8303,8303,GoBus,DDS,8303,1844976,09-MAR-23
8304,8304,GoBus,DDS,8304,1844976,14-JUL-22
8305,8305,GoBus,DDS,8305,1844976,22-MAR-23
8306,8306,GoBus,DDS,8306,1844976,22-MAR-23
8307,8307,GoBus,DDS,8307,1844976,14-SEP-22
8308,8308,GoBus,DDS,8308,1844976,22-MAR-23
8309,8309,GoBus,DDS,8309,1844976,22-FEB-23
8310,8310,GoBus,DDS,8310,1844976,22-MAR-23
8311,8311,GoBus,DDS,8311,1844976,14-JUL-22
8312,8312,GoBus,DDS,8312,1844976,20-JUL-22
8314,8314,GoBus,DDS,8314,1844976,22-MAR-23
8315,8315,GoBus,DDS,8315,1844976,22-MAR-23
8316,8316,GoBus,DDS,8316,1844976,22-MAR-23
8317,8317,GoBus,DDS,8317,1844976,22-MAR-23
8318,8318,GoBus,DDS,8318,1844976,22-MAR-23
8319,8319,GoBus,DDS,8319,1844976,20-APR-21
8321,8321,GoBus,DDS,8321,1844976,31-MAR-21
8322,8322,GoBus,DDS,8322,1844976,22-MAR-23
8323,8323,GoBus,DDS,8323,1844976,07-FEB-23
8324,8324,GoBus,DDS,8324,1844976,14-AUG-22
8325,8325,GoBus,DDS,8325,1844976,22-MAR-23
8326,8326,GoBus,DDS,8326,1844976,01-JUL-22
8327,8327,GoBus,DDS,8327,1844976,22-MAR-23
8328,8328,GoBus,DDS,8328,1844976,22-MAR-23
8329,8329,GoBus,DDS,8329,1844976,22-MAR-23
8330,8330,GoBus,DDS,8330,1844976,22-MAR-23
8331,8331,GoBus,DDS,8331,1844976,22-MAR-23
8332,8332,GoBus,DDS,8332,1844976,22-MAR-23
8333,8333,GoBus,DDS,8333,1844976,22-MAR-23
8334,8334,GoBus,DDS,8334,1844976,22-MAR-23
8335,8335,GoBus,DDS,8335,1844976,22-MAR-23
8336,8336,GoBus,DDS,8336,1844976,22-MAR-23
8337,8337,GoBus,DDS,8337,1844976,22-MAR-23
8338,8338,GoBus,DDS,8338,1844976,22-MAR-23
8339,8339,GoBus,DDS,8339,1844976,22-MAR-23
8340,8340,GoBus,DDS,8340,1844976,22-MAR-23
8341,8341,GoBus,DDS,8341,1844976,22-MAR-23
8342,8342,GoBus,DDS,8342,1844976,14-SEP-22
8343,8343,GoBus,DDS,8343,1844976,25-FEB-23
8344,8344,GoBus,DDS,8344,1844976,22-MAR-23
8345,8345,GoBus,DDS,8345,1844976,22-MAR-23
8346,8346,GoBus,DDS,8346,1844976,22-MAR-23
8347,8347,GoBus,DDS,8347,1844976,22-MAR-23
8348,8348,GoBus,DDS,8348,1844976,22-MAR-23
8349,8349,GoBus,DDS,8349,1844976,25-FEB-23
8350,8350,GoBus,DDS,8350,1844976,22-MAR-23
8351,8351,GoBus,DDS,8351,1844976,22-MAR-23
8352,8352,GoBus,DDS,8352,1844976,22-MAR-23
8353,8353,GoBus,DDS,8353,1844976,14-SEP-22
8355,8355,GoBus,DDS,8355,1844976,22-MAR-23
8356,8356,GoBus,DDS,8356,1844976,22-MAR-23
8357,8357,GoBus,DDS,8357,1844976,22-MAR-23
8358,8358,GoBus,DDS,8358,1844976,22-MAR-23
8359,8359,GoBus,DDS,8359,1844976,22-MAR-23
8360,8360,GoBus,DDS,8360,1844976,26-JUL-22
8361,8361,GoBus,DDS,8361,1844976,16-DEC-22
8362,8362,GoBus,DDS,8362,1844976,09-MAR-23
8363,8363,GoBus,DDS,8363,1844976,22-MAR-23
8364,8364,GoBus,DDS,8364,1844976,14-SEP-22
8365,8365,GoBus,DDS,8365,1844976,22-MAR-23
8366,8366,GoBus,DDS,8366,1844976,22-MAR-23
8367,8367,GoBus,DDS,8367,1844976,22-MAR-23
8368,8368,GoBus,DDS,8368,1844976,22-MAR-23
8369,8369,GoBus,DDS,8369,1844976,21-MAR-23
8370,8370,GoBus,DDS,8370,1844976,22-MAR-23
8371,8371,GoBus,DDS,8371,1844976,22-MAR-23
8372,8372,GoBus,DDS,8372,1844976,15-MAR-23
8373,8373,GoBus,DDS,8373,1844976,22-MAR-23
8374,8374,GoBus,DDS,8374,1844976,14-SEP-22
8375,8375,GoBus,DDS,8375,1844976,28-NOV-20
8376,8376,GoBus,DDS,8376,1844976,22-MAR-23
8377,8377,GoBus,DDS,8377,1844976,25-FEB-23
8378,8378,GoBus,DDS,8378,1844976,22-MAR-23
8379,8379,GoBus,DDS,8379,1844976,22-MAR-23
8380,8380,GoBus,DDS,8380,1844976,22-MAR-23
8381,8381,GoBus,DDS,8381,1844976,22-MAR-23
8382,8382,GoBus,DDS,8382,1844976,22-MAR-23
8383,8383,GoBus,DDS,8383,1844976,22-MAR-23
8384,8384,GoBus,DDS,8384,1844976,22-FEB-23
8385,8385,GoBus,DDS,8385,1844976,22-MAR-23
8386,8386,GoBus,DDS,8386,1844976,01-JUL-22
8387,8387,GoBus,DDS,8387,1844976,22-MAR-23
